end_station_id,end_lat,end_lon,endcount
3045,39.94792,-75.16237,2247
3043,39.93082,-75.17474,329
3038,39.94781,-75.19409,1053
3057,39.96442,-75.17999,1687
3014,39.95886,-75.17369,741
3029,39.9538,-75.19479,1465
3058,39.96716,-75.17001,808
3056,39.97669,-75.15813,790
3052,39.94732,-75.15695,1796
3036,39.96844,-75.14001,419
3013,39.96317,-75.14792,412
3023,39.95048,-75.17286,2708
3017,39.98003,-75.14371,83
3009,39.95576,-75.18982,1241
3025,39.93724,-75.1612,749
3054,39.9625,-75.1742,1029
3075,39.96718,-75.16125,515
3071,39.96173,-75.18788,472
3061,39.95425,-75.17761,1386
3016,39.96892,-75.1547,52
3033,39.95005,-75.15672,1026
3073,39.96143,-75.15242,580
3022,39.95472,-75.18323,1954
3047,39.95071,-75.14921,1303
3062,39.95197,-75.17943,937
3055,39.95112,-75.15457,798
3037,39.95424,-75.16138,1098
3018,39.95273,-75.15979,1544
3040,39.96289,-75.16606,808
3039,39.97121,-75.1597,505
3008,39.98082,-75.14973,378
3030,39.93935,-75.15716,1339
3000,0,0,573
3051,39.96744,-75.17507,1063
3005,39.94733,-75.14403,471
3011,39.96046,-75.19701,380
3041,39.96849,-75.13546,587
3007,39.94517,-75.15993,2244
3024,39.94822,-75.20908,513
3049,39.94509,-75.1425,374
3077,39.97207,-75.16351,204
3086,39.94019,-75.16691,814
3026,39.94138,-75.14564,1249
3063,39.94633,-75.1698,1353
3088,39.96984,-75.1418,308
3034,39.93315,-75.16248,1275
3060,39.95923,-75.17036,1033
3053,39.93231,-75.18154,463
3010,39.94711,-75.16618,2689
3059,39.96265,-75.16174,702
3050,39.95339,-75.15426,1020
3004,39.95378,-75.16374,1853
3019,39.95403,-75.14983,425
3035,39.96271,-75.19419,283
3046,39.95012,-75.14472,1144
3068,39.93549,-75.16711,903
3015,39.94759,-75.1487,686
3027,39.95708,-75.20177,424
3072,39.93445,-75.14541,739
3078,39.95355,-75.17192,902
3006,39.9522,-75.20311,782
3031,39.98005,-75.15522,863
3020,39.94887,-75.18986,1465
3070,39.96062,-75.13983,589
3032,39.94527,-75.17971,2368
3066,39.94561,-75.17348,1067
3074,39.95511,-75.20987,555
3028,39.94061,-75.14958,2046
3012,39.94217,-75.1775,1456
3064,39.9384,-75.17327,1053
3021,39.9539,-75.16902,2399
3065,39.9707,-75.15171,229
3067,39.96411,-75.19973,88
3069,39.93704,-75.15038,1283
